NOME,TIPO
UNITED SELF-DEFENSE FORCES OF COLOMBIA,J
ASBAT AL-ANSAR,J
SALAFIST GROUP FOR CALL AND COMBAT,J
LIBYAN ISLAMIC FIGHTING GROUP,J
AL-ITIHAAD AL-ISLAMIYA,J
ISLAMIC ARMY OF ADEN,J
SAYFAL-ADL,F
MAHFOUZ OULDAL-WALID,F
ZAYN AL-ABIDIN MUHAMMADHUSAYN,F
ABD AL-HADIAL-IRAQI,F
THIRWAT SALAHSHIHATA,F
TARIQ ANWAR AL-SAYYIDAHMAD,F
MAKHTAB AL-KHIDAMAT/AL KIFAH,J
WAFA HUMANITARIAN ORGANIZATION,J
AL RASHID TRUST,J
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,J
ABDULLAH AHMEDABDULLAH,F
AHMED MOHAMMED HAMEDALI,F
AHMAD IBRAHIMAL-MUGHASSIL,F
ABDELKARIM HUSSEIN MOHAMEDAL-NASSER,F
IBRAHIM SALIH MOHAMMEDAL-YACOUB,F
ALIATWA,F
ALI SAED BIN ALIEL-HOORIE,F
MUSTAFA MOHAMEDFADHIL,F
AHMED KHALFANGHAILANI,F
HASANIZZ-AL-DIN,F
FAZUL ABDULLAHMOHAMMED,F
KHALID SHAIKHMOHAMMED,F
ABDUL RAHMANYASIN,F
AL-HAMATI SWEETS BAKERIES,J
JAISH-I-MOHAMMED,J
JAM'YAH TA'AWUN AL-ISLAMIA,J
RABITA TRUST,J
HAJI ABDUL MANANAGHA,F
MOHAMMAD HAMDI MOHAMMAD SADIQAL-AHDAL,F
AMINAL-HAQ,F
SALIM AHMAD SALIMHAMDAN,F
SA'D ABDULLAH HUSSEINAL-SHARIF,F
BILALBIN MARWAN,F
AYADI CHAFIQBIN MUHAMMAD,F
MAMOUNDARKAZANLI,F
RIADHIJAZI,F
OMAR MAHMOUDUTHMAN,F
HASSAN DAHIRAWEYS,F
AL-AQSA ISLAMIC BANK,J
BEIT EL-MAL HOLDINGS,J
HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,J
UMMAH TAMEER E-NAU,J
SULTAN BASHIR-UD-DINMAHMOOD,F
ABDULMAJEED,F
MOHAMMEDTUFAIL,F
LASHKAR E-TAYYIBA,J
CONTINUITY IRA,J
FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,J
LOYALIST VOLUNTEER FORCE,J
ORANGE VOLUNTEERS,J
RED HAND DEFENDERS,J
ULSTER DEFENCE ASSOCIATION,J
BOUBEKEURBOULGHITI,F
REVIVAL OF ISLAMIC HERITAGE SOCIETY,J
ABD AL-MUHSINAL-LIBI,F
ACCESOS ELECTRONICOS S.A.DE C.V.,J
"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",J
"ADP, S.C.",J
"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",J
"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",J
"FARMACIA VIDA SUPREMA, S.A. DE C.V.",J
"FORPRES, S.C.",J
GEX EXPLORE S. DE R.L. DE C.V.,J
"OPERADORA VALPARK, S.A. DE C.V.",J
"VALPARK, S.A. DE C.V.",J
MIGUELAGUILAR AMAO,F
MANUELAGUIRRE GALINDO,F
ENEDINAARELLANO FELIX,F
MARIA ANTONIETAFREGOSO AMEZQUITA,F
JOSE ALEJANDROGIL GARCIA,F
MARIA ELDAHERNANDEZ PULIDO,F
GILBERTOMIJARES TRANCOSO,F
LUIS IGNACIOMORENO MEDINA,F
FRANCISCO JAVIEROROPEZA MEDRANO,F
SERGIO HUMBERTORAMIREZ AGUIRRE,F
LUIS RAULTOLEDO CARREJO,F
JAVIERABAUNZA MARTINEZ,F
ITZIARALBERDI URANGA,F
ANGELALCALDE LINARES,F
MIGUELALBISU IRIARTE,F
EUSEBIOARZALLUS TAPIA,F
PAULOELCORO AYASTUY,F
ANTONIO AGUSTINFIGAL ARRANZ,F
ENEKOGOGEASCOECHEA ARRONATEGUI,F
CRISTINAGOIRICELAYA GONZALEZ,F
MARIA SOLEDADIPARRAGUIRRE GUENECHEA,F
GRACIAMORCILLO TORRES,F
AINHOAMUGICA GONI,F
ALONAMUNOA ORDOZGOITI,F
JUAN JESUSNARVAEZ GONI,F
JUAN ANTONIOOLARRA GURIDI,F
ZIGORORBE SEVILLANO,F
MIKELOTEGUI UNANUE,F
JON INAKIPEREZ ARAMBURU,F
CARLOSSAEZ DE EGUILAZ MURGUIONDO,F
KEMENURANGA ARTOLA,F
FERMINVILA MICHELENA,F
AL-HARAMAIN ISLAMIC FOUNDATION,J
AL-AQSA MARTYRS BRIGADE,J
THE AID ORGANIZATION OF THE ULEMA,J
MOHAMED BEN BELGACEMAOUADI,F
LASEDBEN HENI,F
MOKHTARBOUCHOUCHA,F
ABDELKADER MAHMOUDES SAYED,F
SAMI BEN KHEMAISESSID,F
KHALID ABD AL-RAHMAN HAMDAL-FAWAZ,F
ABU HAMZAAL-MASRI,F
IVANAPAOLAZA SANCHO,F
ISMAELBERASATEGUI ESCUDERO,F
LEXURIGALLASTEGUI SODUPE,F
GORKAPALACIOS ALDAY,F
ASIERQUINTANA ZORROZUA,F
JUAN LUISRUBENACH ROIG,F
MANEXZUBIAGA BRAVO,F
ASKATASUNA,J
LUIS FERNANDODA COSTA,F
EDUARDOGONZALEZ QUIRARTE,F
HAJIIBRAHIM,F
SAMUELKNOWLES,F
ODEDTUITO,F
ISMAELZAMBADA GARCIA,F
BABBAR KHALSA INTERNATIONAL,J
INTERNATIONAL SIKH YOUTH FEDERATION,J
NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,J
JOSE MARIASISON,F
ADELBEN SOLTANE,F
NABIL BEN MOHAMED BEN ALIBEN ATTIA,F
YASSINECHEKKOURI,F
RIADH BEN BELKASSEM BEN MOHAMEDJELASSI,F
MEHDIKAMMOUN,F
SAMIRKISHK,F
TAREK BEN HABIB BEN AL-TOUMIMAAROUFI,F
ABDELHALIMREMADNA,F
MANSOURTHAER,F
AL-AZHAR BEN AMMAR BEN ABADALLAHTLILI,F
HABIBWADDANI,F
EASTERN TURKISTAN ISLAMIC MOVEMENT,J
WA'EL HAMZA ABD AL-FATAHJULAIDAN,F
SAIDBAHAJI,F
RAMZI MOHAMMED ABDULLAHBINALSHIBH,F
MOUNIREL MOTASSADEQ,F
ZAKARYAESSABAR,F
TUNISIAN COMBAT GROUP,J
"GLOBAL RELIEF FOUNDATION, INC.",J
"GLOBAL RELIEF FOUNDATION, INC.",J
JEMAA ISLAMIYAH,J
LUIS HERNANDOGOMEZ BUSTAMANTE,F
DIEGO LEONMONTOYA SANCHEZ,F
AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,J
AGROPECUARIA MIRALINDO S.A.,J
ARIZONA S.A.,J
GANADERIA EL VERGEL LTDA.,J
GANADERIAS BILBAO LTDA.,J
INMOBILIARIA EL ESCORIAL LTDA.,J
INMOBILIARIA LINARES LTDA.,J
INMOBILIARIA PASADENA LTDA.,J
INVERSIONES LA QUINTA Y CIA. LTDA.,J
LADRILLERA LA CANDELARIA LTDA.,J
MONTOYA LUNA E HIJOS Y CIA. S.C.S.,J
ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,J
VISCAYA LTDA.,J
LAURA VICTORIAGOMEZ APONTE,F
VIVIANAGOMEZ GOMEZ,F
OLGA CECILIAGOMEZ JARAMILLO,F
JAIRO JOSEHURTADO ROMERO,F
JOHN JAIROMENDEZ SALAZAR,F
EUGENIOMONTOYA SANCHEZ,F
JUAN CARLOSMONTOYA SANCHEZ,F
MARIA HELENARUIZ CASTANO,F
LEIREECHEBERRIA SIMARRO,F
ALFONSOECHEGARAY ACHIRICA,F
ENRIQUEIZTUETA BARANDICA,F
INIGOVALLEJO FRANCO,F
BENEVOLENCE INTERNATIONAL FOUNDATION,J
BENEVOLENCE INTERNATIONAL FUND,J
BOSANSKA IDEALNA FUTURA,J
MOROCCAN ISLAMIC COMBATANT GROUP,J
LAJNAT AL DAAWA AL ISLAMIYYA,J
NABIL ABDUL SALAMSAYADI,F
NURJAMAN RIDUANISAMUDDIN,F
MOHAMAD IQBALABDURRAHMAN,F
STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,J
LASHKAR I JHANGVI,J
GULBUDDINHEKMATYAR,F
ANSAR AL-ISLAM,J
THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,J
THE SPECIAL PURPOSE ISLAMIC REGIMENT,J
THE ISLAMIC INTERNATIONAL BRIGADE,J
ROBERT GABRIELMUGABE,F
GEORGECHARAMBA,F
FORTUNE ZEFANAYACHARUMBIRA,F
AUGUSTINECHIHURI,F
PATRICKCHINAMASA,F
CONSTANTINE GUREYACHIWENGA,F
WILLARDCHIWEWE,F
SAVIORKASUKUWERE,F
JOSEPH MTAKWESEMADE,F
EDNAMADZONGWE,F
JOSHUAMALINGA,F
ANGELINEMASUKU,F
EMMERSON DAMBUDZOMNANGAGWA,F
KEMBO CAMPBELL DUGISHIMOHADI,F
JONATHAN NATHANIELMOYO,F
OBERT MOSESMPOFU,F
OPPAH CHAMU ZVIPANGEMUCHINGURI,F
GRACEMUGABE,F
JOYCE TEURAI ROPAMUJURU,F
SAMUEL SIMBARASHE SIMBANENDUKUMUMBENGEGWI,F
CHRISTOPHER CHINDOTIMUSHOHWE,F
DIDYMUS NOEL EDWINMUTASA,F
TSITSIMUZENDA,F
ELISHAMUZONZINI,F
ABEDINICONCUBE,F
CHENAYAIMOYO DUNSTAN FRANCISNHEMA,F
DAVID PAGWESEPARIRENYATWA,F
SIDNEY TIGERESEKERAMAYI,F
JOAQUIN MARIOVALENCIA TRUJILLO,F
BANANERA AGRICOLA S.A.,J
CIA. MINERA DAPA S.A.,J
COMPANIA DE FOMENTO MERCANTIL S.A.,J
CONSTRUCCIONES PROGRESO DEL PUERTO S.A.,J
CREDISA S.A.,J
CRIADERO LA LUISA E.U.,J
DRAGADOS Y MUELLES GAVIOTA LTDA.,J
GRANJA LA SIERRA LTDA.,J
GRAN MUELLE S.A.,J
MIRA E.U.,J
OCCIDENTAL DE PAPELES LTDA.,J
SERVICIO AEREO DE SANTANDER E.U.,J
UNIDAS S.A.,J
LUIS HERNANDOMONTANO ALVAREZ,F
TODOBOLSAS Y COLSOBRES,J
AL-AQSA FOUNDATION,J
AL-AQSA E.V.,J
STICHTING AL-AQSA,J
FORENINGEN AL-AQSA,J
AL-AQSA,J
AQSSA SOCIETY YEMEN,J
AL-AQSA FOUNDATION,J
AL-AQSA FOUNDATION,J
AL-AQSA FOUNDATION,J
XHEVATADEMI,F
GAFURADILI,F
ALBANIAN NATIONAL ARMY,J
BAKIRALISPAHIC,F
ARMY OF THE REPUBLIC OF ILIRIDA,J
ZVONKOBAJAGIC,F
PREDRAGBANOVIC,F
IDAJETBEQIRI,F
NURIBEXHETI,F
BIO CORPORATION,J
MILOVANBJELICA,F
VIDOJEBLAGOJEVIC,F
TIHOMIRBLASKIC,F
LJUBOMIRBORAVCANIN,F
LJUBEBOSKOVSKI,F
RADOSLAVBRDJANIN,F
SPIROBUTKA,F
MARIOCERKEZ,F
RANKOCESIC,F
LJUBOCESIC-ROJS,F
CETNIK RAVNAGORSKI POKRET,J
VALENTINCORIC,F
TAHIRDALIPI,F
HAZIMDELIC,F
DAMIRDOSEN,F
GAFURELSHANI,F
FRONT FOR ALBANIAN NATIONAL UNITY,J
ANTOFURUNDZIJA,F
DUSANFUSTAR,F
MILICAGAJIC-MILOSEVIC,F
STANISLAVGALIC,F
MOMCILOGRUBAN,F
SKENDERHABIBI,F
ENVERHADZIHASANOVIC,F
NEVZATHALILI,F
DAUTHARADINAJ,F
ZHAVITHASANI,F
KASTRIOTHAXHIREXHA,F
MILANIVANOVIC,F
MARKOJAKSIC,F
GOJKOJANKOVIC,F
ANTEJELAVIC,F
GORANJELISIC,F
DRAGANJOKIC,F
MIODRAGJOKIC,F
LUKAKARADZIC,F
RADOVANKARADZIC,F
SONJAKARADZIC-JOVICEVIC,F
DUSANKNEZEVIC,F
DARIOKORDIC,F
MILOJICAKOS,F
VLADIMIRKOVACEVIC,F
MILORADKRNOJELAC,F
RADISLAVKRSTIC,F
IZMETKRYEZIU,F
AMIRKUBURA,F
DRAGOLJUBKUNARAC,F
MIROSLAVKVOCKA,F
DRAGANLALOVIC,F
"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC",J
FATMIRLIMAJ,F
RAMIZLLADROVICI,F
MILANLUKIC,F
SREDOJELUKIC,F
MILORAD ULEMEKLUKOVIC,F
SAMILUSHTAKU,F
MANCO OIL COMPANY,J
MOMCILOMANDIC,F
MIRJANAMARKOVIC,F
RADOVACMARKOVIC,F
TONMARKU,F
MILANMARTIC,F
VINKOMARTINOVIC,F
ZELJKOMEJAKIC,F
BORISLAVMILOSEVIC,F
DRAGOMIRMILOSEVIC,F
MARIJAMILOSEVIC,F
MARKOMILOSEVIC,F
MILANKAMILOSEVIC,F
SLOBODANMILOSEVIC,F
MILANMILUTINOVIC,F
RATKOMLADIC,F
XHAVITMORINA,F
DARKOMRDJA,F
ISAKMUSLIU,F
SHEFQETMUSLIU,F
RRUSTEMMUSTAFA,F
MLADENNALETILIC,F
NATIONAL COMMITTEE FOR THE LIBERATION AND PROTECTION OF ALBANIAN LANDS,J
NATIONAL LIBERATION ARMY,J
NATIONAL MOVEMENT FOR THE LIBERATION OF KOSOVO,J
MALIQNDRECAJ,F
MOMIRNIKOLIC,F
ZARKONIKOLIC,F
DRAGANOBRENOVIC,F
VINKOPANDUREVIC,F
NEBOJSAPAVKOVIC,F
JOZOPERIC,F
BILJANAPLAVSIC,F
"POLITICAL COUNCIL OF PRESEVO, MEDVEDJA, AND BUJANOVAC",J
VUJADINPOPOVIC,F
POPULAR MOVEMENT OF KOSOVO,J
DRAGOLJUBPRCAC,F
PUMA SECURITY COMPANY,J
MIROSLAVRADIC,F
MLADORADIC,F
IVICARAJIC,F
MITARRASEVIC,F
DAUTREXHEPI,F
SLAVKOROGULJIC,F
SENADSAHINPASIC,F
NIKOLASAINOVIC,F
IZAIRSAMIU,F
VLADIMIRSANTIC,F
REXHEPSELIMI,F
VOJISLAVSESELJ,F
SHAQIRSHAQIRI,F
DUSKOSIKIRICA,F
FRANKOSIMATOVIC,F
BLAGOJESIMIC,F
MILANSIMIC,F
VESELINSLJIVANCANIN,F
STANKOSOPTA,F
MILOMIRSTAKIC,F
JOVICASTANISIC,F
RADOVANSTANKOVIC,F
NOVAKSTEPANOVIC,F
BOGDANSUBOTIC,F
EMRUSHSUMA,F
AZEMSYLA,F
DUSANTADIC,F
MIROSLAVTADIC,F
SAVOTODOVIC,F
SAMIUKSINI,F
MITARVASILJEVIC,F
ZORANVUKOVIC,F
SHEFITXHAFERI,F
EMRUSHXHEMAJLI,F
MUHAMETXHEMAJLI,F
SIMOZARIC,F
LJILJANAZELEN-KARADZIC,F
ZORANZIGIC,F
STOJANZUPLJANIN,F
LEONARDODIAS DE MENDONCA,F
JUAN JOSEESPARRAGOZA MORENO,F
HECTOR LUISPALMA SALAZAR,F
JOSE ALBINOQUINTERO MERAZ,F
UNITED WA STATE ARMY,J
YOUSSEFABDAOUI,F
MOHAMED AMINEAKLI,F
MEHREZAMDOUNI,F
CHIHEB BEN MOHAMEDAYARI,F
MONDHERBAAZAOUI,F
LIONELDUMONT,F
MOUSSA BEN AMOR BEN ALIESSAADI,F
RACHIDFETTAR,F
BRAHIM BEN HEDILI BEN MOHAMEDHAMAMI,F
KHALILJARRAYA,F
MOUNIR BEN HABIBJARRAYA,F
FAOUZI BEN MOHAMED BEN AHMEDJENDOUBI,F
FETHI BEN REBAI BEN ABSHAMNASRI,F
NAJIBOUAZ,F
AHMED HOSNIRARRBO,F
NEDALSALEH,F
ABDELGHANIMZOUDI,F
SADDAM HUSSEINAL-TIKRITI,F
QUSAY SADDAM HUSSEINAL-TIKRITI,F
UDAY SADDAM HUSSEINAL-TIKRITI,F
ABID HAMID MAHMUDAL-TIKRITI,F
ALI HASSAN AL-MAJIDAL-TIKRITI,F
IZZAT IBRAHIMAL-DURI,F
HANI ABD-AL-LATIF TILFAHAL-TIKRITI,F
AZIZ SALIHAL-NUMAN,F
MUHAMMAD HAMZAZUBAIDI,F
KAMAL MUSTAFA SULTAN ABDALLAHAL-TIKRITI,F
BARZAN ABD AL-GHAFUR SULAIMAN MAJIDAL-TIKRITI,F
MUZAHIM SA'B HASSANAL-TIKRITI,F
IBRAHIM AHMAD ABD AL-SATTAR MUHAMMEDAL-TIKRITI,F
SAIF-AL-DIN FULAYYIH HASSAN TAHAAL-RAWI,F
RAFI ABD-AL-LATIF TILFAHAL-TIKRITI,F
TAHIR JALIL HABBUSHAL-TIKRITI,F
HAMID RAJA SHALAHAL-TIKRITI,F
LATIF NUSAYYIF JASIMAL-DULAYMI,F
ABD-AL-TAWAB MULLAHHUWAYSH,F
TAHA YASSIN RAMADANAL-JIZRAWI,F
RUKAN RAZUKI ABD-AL-GHAFUR SULAIMANAL-TIKRITI,F
JAMAL MUSTAFA ABDALLAH SULTANAL-TIKRITI,F
MIZBAN KHADRHADI,F
TAHA MUHYI-AL-DINMA'RUF,F
TARIQAZIZ,F
WALID HAMID TAWFIQAL-TIKRITI,F
SULTAN HASHIM AHMADAL-TAI,F
HIKMAT MIZBAN IBRAHIMAL-AZZAWI,F
MAHMUD DHIYABAL-AHMAD,F
AYAD FUTAYYIH KHALIFAAL-RAWI,F
ZUHAIR TALIB ABD-AL-SATTARAL-NAQIB,F
AMIR HAMUDI HASSANAL-SA'DI,F
AMIR RASHID MUHAMMADAL-UBAIDI,F
HUSAM MUHAMMAD AMINAL-YASSIN,F
MUHAMMAD MAHDIAL-SALIH,F
SAB'AWI IBRAHIM HASSANAL-TIKRITI,F
WATBAN IBRAHIM HASSANAL-TIKRITI,F
BARZAN IBRAHIM HASSANAL-TIKRITI,F
HUDA SALIH MAHDIAMMASH,F
ABD-AL-BAQI ABD-AL-KARIM ABDALLAHAL-SAD'UN,F
MUHAMMAD ZIMAM ABD-AL-RAZZAQAL-SA'DUN,F
SAMIR ABD AL-AZIZAL-NAJIM,F
HUMAM ABD-AL-KHALIQABD-AL-GHAFUR,F
YAHIA ABDALLAHAL-UBAIDI,F
NAYIF SHINDAKH THAMIRGHALIB,F
SAIF-AL-DINAL-MASHHADANI,F
FADIL MAHMUDGHARIB,F
MUHSIN KHADRAL-KHAFAJI,F
RASHID TAANKAZIM,F
UGLA ABID SAQARAL-KUBAYSI,F
GHAZI HAMMUDAL-UBAIDI,F
ADIL ABDALLAHMAHDI,F
HUSSEIN QAIDAL-AWADI,F
KHAMIS SIRHANAL-MUHAMMAD,F
SA'D ABD-AL-MAJID AL-FAYSALAL-TIKRITI,F
DRAGONSPASOJEVIC,F
DRAGOMIRVASIC,F
ASSOCIATION DE SECOURS PALESTINIENS,J
IMAD KHALILAL-ALAMI,F
USAMAHAMDAN,F
KHALIDMISHAAL,F
ABDEL AZIZRANTISI,F
COMITE' DE BIENFAISANCE ET DE SECOURS AUX PALESTINIENS,J
INTERPAL,J
PALESTINIAN ASSOCIATION IN AUSTRIA,J
SANABIL ASSOCIATION FOR RELIEF AND DEVELOPMENT,J
AGUSDWIKARNA,F
SALIM Y SALAMUDDINJULKIPLI,F
ARISMUNANDAR,F
ABDUL HAKIMMURAD,F
PARLINDUNGANSIREGAR,F
YASSINSYAWAL,F
MUKHLISYUNOS,F
AMRANBIN MANSOUR,F
ZULKIFLI BIN ABDULHIR,F
ABDUL MANAFKASMURI,F
ZULKIFLIMARZUKI,F
YAZIDSUFAAT,F
WAN MATWAN MIN,F
ZAINIZAKARIA,F
MOHAMEDABU DHESS,F
ASCHRAFAL-DAGMA,F
DJAMELMOUSTFA,F
ISMAIL ABDALLAH SBAITANSHALABI,F
AL-AKHTAR TRUST INTERNATIONAL,J
AL-BAKOUN ALA AL-AHD ORGANIZATION,J
MOKHTARBELMOKHTAR,F
DHAMAT HOUMET DAAWA SALAFIA,J
MUSTAPHA NASRI BEN ABDUL KADER AITEL HADI,F
DJAMELLOUNICI,F
CHERIF SAIDBEN ABDELHAKIM,F
HAMADI BEN ABDUL AZIZ BEN ALIBOUYAHIA,F
CIISE MAXAMEDCABDULLAAH,F
NOUREDDINE BEN ALI BEN BELKASSEMDRISSI,F
RADI ABD EL SAMIE ABOU EL YAZIDEL AYASHI,F
MOHAMMED TAHIRHAMMID,F
KAMEL BEN MOULDI BEN HASSANHAMRAOUI,F
MOHAMED AMINMOSTAFA,F
LOTFI BEN ABDUL HAMID BEN ALIRIHANI,F
LAZHER BEN KHALIFA BEN AHMEDROUINE,F
NASSIM BEN MOHAMED AL-CHERIF BEN MOHAMEDSALEH AL-SAADI,F
MOURADTRABELSI,F
IMED BEN MEKKI BEN AL-AKHDARZARKAOUI,F
SAIFIAMMARI,F
SAFETDURGUTI,F
SULAIMAN JASSEMABO GHAITH,F
AL-HARAMAIN : PAKISTAN BRANCH,J
AL-HARAMAIN : INDONESIA BRANCH,J
AL-HARAMAIN : KENYA BRANCH,J
AL-HARAMAIN : TANZANIA BRANCH,J
DRAGANBASEVIC,F
VELJKOBOROVCANIN,F
SAMOJKODJORDA,F
LJUBANECIM,F
AVDYLJAKUPI,F
RADOMIRKOJIC,F
TOMISLAVKOVAC,F
PREDRAGKUJUNDZIC,F
MILOVANMARIJANOVIC,F
IVANSARAC,F
XHEZAIRSHAQIRI,F
MENDUHTHACI,F
"2904977 CANADA, INC.",J
CORPORACION CIMEX S.A.,J
